Job Title,Location,Salary,Job Type,Experience,Job URL
Junior Customer Service Executive ,Kuala Lumpur,RM 2500 - RM 2800,Full-Time,Last active - few minutes ago,https://my.hiredly.com/jobs/jobs-malaysia-pichaeats-picha-sdn-bhd-job-junior-customer-service-executive
QA Engineer,Kuala Lumpur,RM 3500 - RM 5000,Full-Time,4 - 7 Years of Experience,https://my.hiredly.com/jobs/jobs-malaysia-special-steel-alliance-sdn-berhad-job-qa-engineer
Sales Executive,Selangor,Undisclosed,Full-Time,Last active - few hours ago,https://my.hiredly.com/jobs/jobs-malaysia-rethink-sdn-bhd-job-sales-executive
"DIGITAL MARKETING STRATEGIST, SENIOR/ASST MANAGER",Selangor,RM 3500 - RM 4700,Full-Time,Last active - few hours ago,https://my.hiredly.com/jobs/jobs-malaysia-ideaid-sdn-bhd-job-digital-marketing-strategist-senior-asst-manager-1
ERP Assistant Project Manager,Selangor,RM 3500 - RM 5000,Full-Time,Last active - few hours ago,https://my.hiredly.com/jobs/jobs-malaysia-high-pines-training-and-consultancy-sdn-bhd-job-erp-assistant-project-manager-0
Teacher (Mandarin Speaker),Kuala Lumpur,RM 3500 - RM 5000,Full-Time,1 - 3 Years of Experience,https://my.hiredly.com/jobs/jobs-malaysia-glexis-tuition-centre-sdn-bhd-job-teacher-mandarin-speaker-0
Internship for Media/Art Students,Selangor,RM 500 - RM 800,Internship,Last active - few hours ago,https://my.hiredly.com/jobs/jobs-malaysia-hola-mascot-job-internship-for-media-art-students-0
Content Creator cum Livestreamer,Kuala Lumpur,RM 2500 - RM 4500,Full-Time,Last active - few hours ago,https://my.hiredly.com/jobs/jobs-malaysia-ouji-seiyaku-m-sdn-bhd-job-content-creator-cum-livestreamer-1
Account Servicing (Sales & Marketing),Selangor,Undisclosed,Full-Time,Last active - few hours ago,https://my.hiredly.com/jobs/jobs-malaysia-hola-mascot-job-account-servicing-sales-marketing
Creative Lead / Assistant (Events),Kuala Lumpur,RM 4000 - RM 7000,Full-Time,Last active - few hours ago,https://my.hiredly.com/jobs/jobs-malaysia-shockwave-sdn-bhd-job-creative-lead-assistant-events
Interior Designer,Selangor,RM 3000 - RM 6000,Full-Time,Last active - few hours ago,https://my.hiredly.com/jobs/jobs-malaysia-wereka-concept-sdn-bhd-job-interior-designer
"Management Trainee Programme (Brand Owner of Walch, Dynamo)",Kuala Lumpur,RM 4000 - RM 4500,Full-Time,#NoExperienceNeeded,https://my.hiredly.com/jobs/jobs-malaysia-ouji-seiyaku-m-sdn-bhd-job-management-trainee-programme-brand-owner-of-walch-dynamo-1
Social Media Executive,Kuala Lumpur,RM 500,Full-Time,Last active - few hours ago,https://my.hiredly.com/jobs/jobs-malaysia-twenty8-ventures-sdn-bhd-job-social-media-executive-31
Graphic Designer,Selangor,RM 3500 - RM 4500,Full-Time,Last active - few hours ago,https://my.hiredly.com/jobs/jobs-malaysia-i-concept-job-graphic-designer
Sales Consultant - Business Development,Kuala Lumpur,Undisclosed,Full-Time,1 - 3 Years of Experience,https://my.hiredly.com/jobs/jobs-malaysia-hiredly-job-sales-consultant-business-development-0
Digital Marketing Sales Executive,Selangor,RM 2500 - RM 3000,Full-Time,Last active - few hours ago,https://my.hiredly.com/jobs/jobs-malaysia-motto-malaysia-job-digital-marketing-sales-executive
Finance Manager,Kuala Lumpur,RM 3500 - RM 7500,Full-Time,Last active - 1 hour ago,https://my.hiredly.com/jobs/jobs-malaysia-flyproject-job-finance-manager-0
